ensembl_gene_id,gene_id
ENSG00000049449,5954.0
ENSG00000049449,440034.0
ENSG00000049540,2006.0
ENSG00000049541,5982.0
ENSG00000049618,57492.0
ENSG00000049656,81037.0
ENSG00000049759,23327.0
ENSG00000049768,50943.0
ENSG00000049769,89801.0
ENSG00000049860,3074.0
ENSG00000049883,79810.0
ENSG00000050030,340533.0
ENSG00000050130,51528.0
ENSG00000050165,27122.0
ENSG00000050327,102725117.0
ENSG00000050327,7984.0
ENSG00000050344,9603.0
ENSG00000050393,63933.0
ENSG00000050405,51474.0
ENSG00000050426,25875.0
ENSG00000050438,9498.0
ENSG00000050555,10319.0
ENSG00000050628,5733.0
ENSG00000050730,79931.0
ENSG00000050748,5601.0
ENSG00000050767,91522.0
ENSG00000050820,9564.0
ENSG00000051009,84067.0
ENSG00000051108,9709.0
ENSG00000051128,9454.0
ENSG00000051180,5888.0
ENSG00000051341,10721.0
ENSG00000051382,5291.0
ENSG00000051523,1535.0
ENSG00000051596,84321.0
ENSG00000051620,23593.0
ENSG00000051825,10198.0
ENSG00000052126,54477.0
ENSG00000052344,5652.0
ENSG00000052723,80143.0
ENSG00000052749,23223.0
ENSG00000052795,57600.0
ENSG00000052802,6307.0
ENSG00000052841,55761.0
ENSG00000052850,60529.0
ENSG00000053108,23105.0
ENSG00000053254,1112.0
ENSG00000053328,728464.0
ENSG00000053371,8574.0
ENSG00000053372,51154.0
ENSG00000053438,4826.0
ENSG00000053501,55850.0
ENSG00000053524,23101.0
ENSG00000053702,83714.0
ENSG00000053747,3909.0
ENSG00000053770,55745.0
ENSG00000053900,29945.0
ENSG00000053918,3784.0
ENSG00000054116,27095.0
ENSG00000054118,9967.0
ENSG00000054148,29085.0
ENSG00000054179,954.0
ENSG00000054219,4065.0
ENSG00000054267,51742.0
ENSG00000054277,23596.0
ENSG00000054282,10806.0
ENSG00000054356,5798.0
ENSG00000054392,55733.0
ENSG00000054523,23095.0
ENSG00000054598,2296.0
ENSG00000054611,25771.0
ENSG00000054654,23224.0
ENSG00000054690,57475.0
ENSG00000054793,10079.0
ENSG00000054796,23626.0
ENSG00000054803,140689.0
ENSG00000054938,25884.0
ENSG00000054965,23201.0
ENSG00000054967,84957.0
ENSG00000054983,2581.0
ENSG00000055044,51602.0
ENSG00000055070,26099.0
ENSG00000055118,3757.0
ENSG00000055130,8454.0
ENSG00000055147,10827.0
ENSG00000055163,26999.0
ENSG00000055208,23118.0
ENSG00000055211,116254.0
ENSG00000055332,5610.0
ENSG00000055483,57602.0
ENSG00000055609,58508.0
ENSG00000055732,55283.0
ENSG00000055813,114800.0
ENSG00000055917,23369.0
ENSG00000055950,84545.0
ENSG00000055955,3700.0
ENSG00000055957,3697.0
ENSG00000056050,54969.0
ENSG00000056097,51663.0
ENSG00000056277,55609.0
ENSG00000056291,10886.0
ENSG00000056487,112885.0
ENSG00000056558,7185.0
ENSG00000056586,54542.0
ENSG00000056678,3833.0
ENSG00000056736,55540.0
ENSG00000056972,10758.0
ENSG00000056998,8908.0
ENSG00000057019,131566.0
ENSG00000057149,6317.0
ENSG00000057252,6646.0
ENSG00000057294,5318.0
ENSG00000057468,4438.0
ENSG00000057593,2155.0
ENSG00000057608,2665.0
ENSG00000057657,639.0
ENSG00000057663,9474.0
ENSG00000057704,57458.0
ENSG00000057757,57095.0
ENSG00000057935,57504.0
ENSG00000058056,8975.0
ENSG00000058063,23200.0
ENSG00000058085,3918.0
ENSG00000058091,5218.0
ENSG00000058262,29927.0
ENSG00000058272,4659.0
ENSG00000058335,5923.0
ENSG00000058404,816.0
ENSG00000058453,9696.0
ENSG00000058600,55718.0
ENSG00000058600,101060521.0
ENSG00000058668,493.0
ENSG00000058673,441155.0
ENSG00000058673,9877.0
ENSG00000058729,55781.0
ENSG00000058799,54432.0
ENSG00000058804,55706.0
ENSG00000058866,1608.0
ENSG00000059122,84256.0
ENSG00000059145,64718.0
ENSG00000059377,6916.0
ENSG00000059378,64761.0
ENSG00000059573,5832.0
ENSG00000059588,6894.0
ENSG00000059691,5188.0
ENSG00000059728,4084.0
ENSG00000059758,5128.0
ENSG00000059769,548645.0
ENSG00000059804,6515.0
ENSG00000059915,5662.0
ENSG00000060069,9150.0
ENSG00000060138,8531.0
ENSG00000060140,55359.0
ENSG00000060237,65125.0
ENSG00000060339,55749.0
ENSG00000060491,11054.0
ENSG00000060558,2769.0
ENSG00000060566,84699.0
ENSG00000060642,55650.0
ENSG00000060656,10076.0
ENSG00000060688,9410.0
ENSG00000060709,23504.0
ENSG00000060718,1301.0
ENSG00000060749,79832.0
ENSG00000060762,51660.0
ENSG00000060971,30.0
ENSG00000060982,586.0
ENSG00000061273,51564.0
ENSG00000061337,11178.0
ENSG00000061455,93166.0
ENSG00000061492,7478.0
ENSG00000061656,6676.0
ENSG00000061676,10787.0
ENSG00000061794,60488.0
ENSG00000061918,2983.0
ENSG00000061936,6433.0
ENSG00000061938,10188.0
ENSG00000061987,23041.0
ENSG00000062038,1001.0
ENSG00000062096,416.0
ENSG00000062194,65056.0
ENSG00000062282,84649.0
ENSG00000062370,7771.0
ENSG00000062485,1431.0
ENSG00000062524,4058.0
ENSG00000062582,64951.0
ENSG00000062598,63916.0
ENSG00000062650,23063.0
ENSG00000062716,81671.0
ENSG00000062725,10513.0
ENSG00000062822,5424.0
ENSG00000063015,124925.0
ENSG00000063046,1975.0
ENSG00000063127,28968.0
ENSG00000063169,29998.0
ENSG00000063176,56848.0
ENSG00000063177,6141.0
ENSG00000063180,770.0
ENSG00000063241,79763.0
ENSG00000063244,11338.0
ENSG00000063245,29924.0
ENSG00000063322,55588.0
ENSG00000063438,57491.0
ENSG00000063515,2928.0
ENSG00000063587,10838.0
ENSG00000063601,8776.0
ENSG00000063660,2817.0
ENSG00000063761,57143.0
ENSG00000063854,3029.0
ENSG00000063978,6047.0
ENSG00000064012,841.0
ENSG00000064042,22998.0
ENSG00000064102,55726.0
ENSG00000064115,51768.0
ENSG00000064195,1747.0
ENSG00000064199,53340.0
ENSG00000064201,10077.0
ENSG00000064205,8839.0
ENSG00000064218,58524.0
ENSG00000064225,10402.0
ENSG00000064270,9914.0
ENSG00000064300,4804.0
ENSG00000064309,50937.0
ENSG00000064313,6873.0
ENSG00000064393,28996.0
ENSG00000064419,23534.0
ENSG00000064489,4207.0
ENSG00000064490,8625.0
ENSG00000064545,54929.0
ENSG00000064547,9170.0
ENSG00000064601,5476.0
ENSG00000064607,10147.0
ENSG00000064651,6558.0
ENSG00000064652,28966.0
ENSG00000064655,2139.0
ENSG00000064666,1265.0
ENSG00000064687,10347.0
ENSG00000064692,9627.0
ENSG00000064703,11218.0
ENSG00000064726,53339.0
ENSG00000064763,55711.0
ENSG00000064787,8537.0
ENSG00000064835,5449.0
ENSG00000064886,1117.0
ENSG00000064932,22904.0
ENSG00000064933,5378.0
ENSG00000064961,10362.0
ENSG00000064989,10203.0
ENSG00000064995,6882.0
ENSG00000064999,23294.0
ENSG00000065000,8943.0
ENSG00000065029,7629.0
ENSG00000065054,9351.0
ENSG00000065057,4913.0
ENSG00000065060,54887.0
ENSG00000065135,2773.0
ENSG00000065150,3843.0
ENSG00000065154,4942.0
ENSG00000065183,10885.0
ENSG00000065243,5586.0
ENSG00000065268,57418.0
ENSG00000065308,9697.0
ENSG00000065320,9423.0
ENSG00000065325,9340.0
ENSG00000065328,55388.0
ENSG00000065357,1606.0
ENSG00000065361,2065.0
ENSG00000065371,54763.0
ENSG00000065413,91526.0
ENSG00000065427,3735.0
ENSG00000065457,23536.0
ENSG00000065485,10954.0
ENSG00000065491,55633.0
ENSG00000065518,4710.0
ENSG00000065526,23013.0
ENSG00000065534,4638.0
ENSG00000065548,55854.0
ENSG00000065559,6416.0
ENSG00000065600,55248.0
ENSG00000065609,9892.0
ENSG00000065613,9748.0
ENSG00000065615,51167.0
ENSG00000065618,1308.0
ENSG00000065621,119391.0
ENSG00000065665,55176.0
ENSG00000065675,5588.0
ENSG00000065717,7089.0
ENSG00000065802,51665.0
ENSG00000065809,83641.0
ENSG00000065833,4199.0
ENSG00000065882,23216.0
ENSG00000065883,8621.0
ENSG00000065911,10797.0
ENSG00000065923,84679.0
ENSG00000065970,55810.0
ENSG00000065978,4904.0
ENSG00000065989,5141.0
ENSG00000066027,5525.0
ENSG00000066032,1496.0
ENSG00000066044,1994.0
ENSG00000066056,7075.0
ENSG00000066084,57609.0
ENSG00000066117,6602.0
ENSG00000066135,9682.0
ENSG00000066136,4802.0
ENSG00000066185,84217.0
ENSG00000066230,6550.0
ENSG00000066248,25791.0
ENSG00000066279,259266.0
ENSG00000066294,8832.0
ENSG00000066322,64834.0
ENSG00000066336,6688.0
ENSG00000066379,30834.0
ENSG00000066382,744.0
ENSG00000066405,51208.0
ENSG00000066422,27107.0
ENSG00000066427,4287.0
ENSG00000066455,9950.0
ENSG00000066468,2263.0
ENSG00000066557,55631.0
ENSG00000066583,51015.0
ENSG00000066629,2009.0
ENSG00000066651,60487.0
ENSG00000066654,55623.0
ENSG00000066697,91283.0
ENSG00000066735,26153.0
ENSG00000066739,55102.0
ENSG00000066777,10565.0
ENSG00000066813,348158.0
ENSG00000066827,57623.0
ENSG00000066855,9650.0
ENSG00000066923,10734.0
ENSG00000066926,2235.0
ENSG00000066933,4649.0
ENSG00000067048,8653.0
ENSG00000067057,5214.0
